[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001160s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run CheckLang Behavior [ RunTime:0.002992s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004628s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | SQL: SHOW COLUMNS FROM `yesow_admin` [ RunTime:0.002774s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | SQL: SELECT `email`,`remark` FROM `yesow_admin` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000356s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ view_template ] --START--
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run LocationTemplate Behavior [ RunTime:0.001171s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001496s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run ParseTemplate Behavior [ RunTime:0.015105s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015578s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run ContentReplace Behavior [ RunTime:0.001652s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run TokenBuild Behavior [ RunTime:0.002722s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001292s ]
[ 2012-12-12T00:14:05+08:00 ] /yesow/admin.php/Public/profile/?_=1355242445549 | INFO: Run ShowRuntime Behavior [ RunTime:0.002192s ]
