[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run ShowRuntime Behavior [ RunTime:0.001446s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004583s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 120 行.
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 121 行.
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\yesow\app\Common\functions.php:95) View.class.php 第 122 行.
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_end ] --START--
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000795s ]
[ 2012-12-10T18:41:42+08:00 ] /yesow/admin.php/Public/main?_=1355136102790 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001108s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run CheckRoute Behavior [ RunTime:0.001231s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001580s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001912s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run CheckLang Behavior [ RunTime:0.002231s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004739s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run LocationTemplate Behavior [ RunTime:0.000757s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001081s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run ParseTemplate Behavior [ RunTime:0.016966s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017453s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run ContentReplace Behavior [ RunTime:0.001396s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run TokenBuild Behavior [ RunTime:0.001363s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000523s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run ShowRuntime Behavior [ RunTime:0.001216s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005619s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_end ] --START--
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000792s ]
[ 2012-12-10T18:42:02+08:00 ] /yesow/admin.php/Public/main?_=1355136122286 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001101s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run CheckRoute Behavior [ RunTime:0.002037s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002486s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001944s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run CheckLang Behavior [ RunTime:0.004386s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007080s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run LocationTemplate Behavior [ RunTime:0.001534s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001896s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run ParseTemplate Behavior [ RunTime:0.019806s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020235s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run ContentReplace Behavior [ RunTime:0.001198s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run TokenBuild Behavior [ RunTime:0.001396s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001078s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run ShowRuntime Behavior [ RunTime:0.002462s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007267s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ view_end ] --START--
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001535s ]
[ 2012-12-10T18:42:30+08:00 ] /yesow/admin.php/Public/main?_=1355136150806 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001861s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ route_check ] --START--
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run CheckRoute Behavior [ RunTime:0.001805s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002221s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001922s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run CheckLang Behavior [ RunTime:0.003102s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005588s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ view_template ] --START--
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run LocationTemplate Behavior [ RunTime:0.001598s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001956s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run ParseTemplate Behavior [ RunTime:0.024846s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025295s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run ContentReplace Behavior [ RunTime:0.002031s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run TokenBuild Behavior [ RunTime:0.002425s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001438s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Run ShowRuntime Behavior [ RunTime:0.001950s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009166s ]
[ 2012-12-10T18:42:41+08:00 ] /yesow/admin.php/Public/main?_=1355136161773 | INFO: Tag[ view_end ] --START--
